Volcano ID,volcano_name,eruption_number,eruption_category,Start Date,End Date,vei,latitude,longitude
261170,Kerinci,22274,Confirmed Eruption,2018-04-21,2020-04-17,1.0,-1.697,101.264
223020,Nyamuragira,22315,Confirmed Eruption,2018-04-18,2020-04-07,0.0,-1.408,29.2
233020,"Fournaise, Piton de la",22261,Confirmed Eruption,2018-04-03,2018-11-01,0.0,-21.244,55.708
263200,Dieng Volcanic Complex,22263,Confirmed Eruption,2018-04-01,2018-04-01,1.0,-7.2,109.879
282090,Kirishimayama,22257,Confirmed Eruption,2018-03-01,2018-06-27,3.0,31.934,130.862
352090,Sangay,22259,Confirmed Eruption,2018-02-25,2018-02-25,1.0,-2.005,-78.341
267020,Karangetang,22256,Confirmed Eruption,2018-02-02,2018-02-02,1.0,2.781,125.407
283120,Kusatsu-Shiranesan,22258,Confirmed Eruption,2018-01-23,2018-01-23,1.0,36.618,138.528
343100,San Miguel,22251,Confirmed Eruption,2018-01-14,2018-05-30,1.0,13.434,-88.269
273030,Mayon,22250,Confirmed Eruption,2018-01-13,2019-10-12,2.0,13.257,123.685
251002,Kadovar,22246,Confirmed Eruption,2018-01-05,2020-04-17,2.0,-3.608,144.588
351020,"Ruiz, Nevado del",22348,Uncertain Eruption,2017-12-18,2017-12-18,,4.892,-75.324
272020,Kanlaon,22249,Confirmed Eruption,2017-12-09,2017-12-09,2.0,10.412,123.132
264020,Agung,22241,Confirmed Eruption,2017-11-21,2019-06-13,3.0,-8.343,115.508
261230,Dempo,22248,Confirmed Eruption,2017-11-09,2017-11-09,1.0,-4.016,103.121
256010,Tinakula,22239,Confirmed Eruption,2017-10-21,2017-10-26,3.0,-10.386,165.804
290240,Sarychev Peak,22308,Confirmed Eruption,2017-10-12,2017-11-13,2.0,48.092,153.2
282090,Kirishimayama,22242,Confirmed Eruption,2017-10-11,2017-10-17,2.0,31.934,130.862
257030,Ambae,22240,Confirmed Eruption,2017-09-06,2018-10-30,3.0,-15.389,167.835
353010,Fernandina,22245,Confirmed Eruption,2017-09-04,2017-09-07,2.0,-0.37,-91.55
344020,San Cristobal,22252,Confirmed Eruption,2017-08-18,2017-11-11,3.0,12.702,-87.004
261170,Kerinci,22273,Confirmed Eruption,2017-08-13,2017-08-13,1.0,-1.697,101.264
352090,Sangay,22231,Confirmed Eruption,2017-07-20,2017-10-26,2.0,-2.005,-78.341
264050,Sangeang Api,22228,Confirmed Eruption,2017-07-15,2020-03-30,2.0,-8.2,119.07
233020,"Fournaise, Piton de la",22224,Confirmed Eruption,2017-07-14,2017-08-28,0.0,-21.244,55.708
252120,Ulawun,22225,Confirmed Eruption,2017-06-11,2017-11-03,1.0,-5.05,151.33
273010,Bulusan,22229,Confirmed Eruption,2017-06-05,2017-06-05,1.0,12.769,124.056
261140,Marapi,22226,Confirmed Eruption,2017-06-04,2017-06-04,1.0,-0.38,100.474
300130,Karymsky,22230,Confirmed Eruption,2017-06-04,2018-01-27,3.0,54.049,159.443
357090,Copahue,22232,Confirmed Eruption,2017-06-04,2018-12-07,1.0,-37.856,-71.183
345020,Rincon de la Vieja,22208,Confirmed Eruption,2017-05-23,2018-03-15,2.0,10.83,-85.324
267020,Karangetang,22212,Uncertain Eruption,2017-05-10,2017-05-10,,2.781,125.407
263200,Dieng Volcanic Complex,22227,Confirmed Eruption,2017-04-30,2017-07-02,1.0,-7.2,109.879
284096,Nishinoshima,22207,Confirmed Eruption,2017-04-18,2017-08-17,2.0,27.247,140.874
345040,Poas,22209,Confirmed Eruption,2017-04-12,2017-11-06,1.0,10.2,-84.233
222120,"Lengai, Ol Doinyo",22284,Confirmed Eruption,2017-04-09,2020-03-24,0.0,-2.764,35.914
360160,Kick 'em Jenny,22260,Confirmed Eruption,2017-03-29,2017-03-29,0.0,12.3,-61.64
282080,Aira,22203,Confirmed Eruption,2017-03-25,2020-04-17,1.0,31.593,130.657
300010,Kambalny,22198,Confirmed Eruption,2017-03-24,2017-04-10,3.0,51.306,156.875
264100,Ebulobo,22211,Uncertain Eruption,2017-03-12,2017-03-12,,-8.817,121.191
262000,Krakatau,22188,Confirmed Eruption,2017-02-19,2017-02-19,1.0,-6.102,105.423
344020,San Cristobal,22269,Confirmed Eruption,2017-02-18,2017-04-19,1.0,12.702,-87.004
233020,"Fournaise, Piton de la",22184,Confirmed Eruption,2017-01-31,2017-02-27,0.0,-21.244,55.708
243030,Unnamed,22185,Confirmed Eruption,2017-01-23,2017-01-31,0.0,-20.852,-175.55
260010,Barren Island,22187,Confirmed Eruption,2017-01-15,2017-05-16,2.0,12.278,93.858
343100,San Miguel,22192,Confirmed Eruption,2017-01-07,2017-01-07,1.0,13.434,-88.269
311300,Bogoslof,22182,Confirmed Eruption,2016-12-20,2017-08-30,3.0,53.93,-168.03
290260,Chirinkotan,22175,Confirmed Eruption,2016-11-29,2017-04-07,3.0,48.98,153.48
223020,Nyamuragira,22202,Confirmed Eruption,2016-11-27,2017-05-02,0.0,-1.408,29.2
300120,Zhupanovsky,22177,Confirmed Eruption,2016-11-20,2016-11-20,2.0,53.589,159.15
261170,Kerinci,22172,Confirmed Eruption,2016-11-15,2016-11-21,1.0,-1.697,101.264
354006,Sabancaya,22158,Confirmed Eruption,2016-11-06,2020-04-17,3.0,-15.787,-71.857
290380,Ebeko,22176,Confirmed Eruption,2016-10-20,2020-04-17,2.0,50.686,156.014
252120,Ulawun,22171,Confirmed Eruption,2016-10-11,2016-11-18,1.0,-5.05,151.33
282110,Asosan,22174,Confirmed Eruption,2016-10-07,2016-11-12,3.0,32.884,131.104
300130,Karymsky,22178,Confirmed Eruption,2016-10-05,2016-10-08,2.0,54.049,159.443
222120,"Lengai, Ol Doinyo",22305,Confirmed Eruption,2016-09-21,2016-10-13,,-2.764,35.914
241040,Whakaari/White Island,22147,Confirmed Eruption,2016-09-13,2016-09-13,1.0,-37.52,177.18
354020,Ubinas,22181,Confirmed Eruption,2016-09-13,2017-03-02,2.0,-16.355,-70.903
233020,"Fournaise, Piton de la",22145,Confirmed Eruption,2016-09-11,2016-09-18,0.0,-21.244,55.708
268060,Gamalama,22150,Confirmed Eruption,2016-08-03,2016-08-04,1.0,0.8,127.33
264030,Rinjani,22149,Confirmed Eruption,2016-08-01,2016-09-27,2.0,-8.42,116.47
290360,Chikurachki,22153,Confirmed Eruption,2016-07-27,2016-08-18,2.0,50.324,155.461
343100,San Miguel,22154,Confirmed Eruption,2016-06-18,2016-06-18,1.0,13.434,-88.269
273010,Bulusan,22151,Confirmed Eruption,2016-06-10,2017-03-02,2.0,12.769,124.056
345040,Poas,22156,Confirmed Eruption,2016-06-05,2016-08-16,1.0,10.2,-84.233
233020,"Fournaise, Piton de la",22144,Confirmed Eruption,2016-05-26,2016-05-27,0.0,-21.244,55.708
241040,Whakaari/White Island,22121,Confirmed Eruption,2016-04-27,2016-04-27,1.0,-37.52,177.18
390080,Bristol Island,22133,Confirmed Eruption,2016-04-24,2016-07-19,1.0,-59.017,-26.533
344020,San Cristobal,22130,Confirmed Eruption,2016-04-22,2016-04-22,2.0,12.702,-87.004
311240,Cleveland,22128,Confirmed Eruption,2016-04-16,2019-01-16,2.0,52.825,-169.944
252010,Langila,22123,Confirmed Eruption,2016-04-02,2018-10-30,2.0,-5.525,148.42
261170,Kerinci,22125,Confirmed Eruption,2016-03-31,2016-06-09,2.0,-1.697,101.264
390130,Zavodovski,22159,Confirmed Eruption,2016-03-30,2016-05-16,1.0,-56.3,-27.57
290360,Chikurachki,22127,Confirmed Eruption,2016-03-29,2016-03-31,2.0,50.324,155.461
312030,Pavlof,22129,Confirmed Eruption,2016-03-27,2016-07-30,2.0,55.417,-161.894
352090,Sangay,22237,Confirmed Eruption,2016-03-25,2016-11-17,2.0,-2.005,-78.341
273010,Bulusan,22114,Confirmed Eruption,2016-02-22,2016-02-22,2.0,12.769,124.056
343100,San Miguel,22117,Confirmed Eruption,2016-01-12,2016-01-18,1.0,13.434,-88.269
357070,"Chillan, Nevados de",22119,Confirmed Eruption,2016-01-08,2020-04-17,2.0,-36.868,-71.378
266030,Soputan,22105,Confirmed Eruption,2016-01-02,2016-02-07,3.0,1.112,124.737
344090,Momotombo,22107,Confirmed Eruption,2015-12-01,2016-04-07,2.0,12.423,-86.539
272020,Kanlaon,22106,Confirmed Eruption,2015-11-24,2016-06-18,2.0,10.412,123.132
261140,Marapi,22111,Confirmed Eruption,2015-11-14,2015-11-14,1.0,-0.38,100.474
263310,Tengger Caldera,22103,Confirmed Eruption,2015-11-12,2016-11-12,2.0,-7.942,112.95
355100,Lascar,22110,Confirmed Eruption,2015-10-30,2017-04-02,2.0,-23.37,-67.73
264030,Rinjani,22104,Confirmed Eruption,2015-10-25,2015-12-24,2.0,-8.42,116.47
344100,Masaya,22108,Confirmed Eruption,2015-10-03,2020-04-17,1.0,11.985,-86.165
290390,Alaid,21096,Confirmed Eruption,2015-09-29,2016-08-11,1.0,50.861,155.565
344040,Telica,21097,Confirmed Eruption,2015-09-23,2016-05-11,2.0,12.606,-86.84
357090,Copahue,21098,Confirmed Eruption,2015-09-18,2016-12-30,2.0,-37.856,-71.183
266100,Lokon-Empung,21093,Confirmed Eruption,2015-08-30,2015-09-28,1.0,1.358,124.792
300260,Klyuchevskoy,21095,Confirmed Eruption,2015-08-28,2018-06-15,3.0,56.056,160.642
352050,Cotopaxi,21088,Confirmed Eruption,2015-08-14,2016-01-24,2.0,-0.677,-78.436
343100,San Miguel,22233,Confirmed Eruption,2015-08-13,2015-08-13,1.0,13.434,-88.269
360160,Kick 'em Jenny,21090,Confirmed Eruption,2015-07-23,2015-07-24,0.0,12.3,-61.64
268060,Gamalama,21087,Confirmed Eruption,2015-07-16,2015-09-08,2.0,0.8,127.33
264270,Sirung,21086,Confirmed Eruption,2015-07-07,2015-07-08,1.0,-8.508,124.13
283020,Hakoneyama,21080,Confirmed Eruption,2015-06-29,2015-07-01,1.0,35.233,139.021
354006,Sabancaya,21089,Confirmed Eruption,2015-06-28,2015-07-09,1.0,-15.787,-71.857
263170,Cereme,21079,Uncertain Eruption,2015-06-24,2015-06-24,,-6.895,108.408
222120,"Lengai, Ol Doinyo",22304,Confirmed Eruption,2015-06-20,2015-08-24,0.0,-2.764,35.914
283110,Asamayama,21081,Confirmed Eruption,2015-06-16,2015-06-16,1.0,36.406,138.523
345020,Rincon de la Vieja,22132,Confirmed Eruption,2015-06-16,2016-05-01,1.0,10.83,-85.324
342110,Pacaya,22157,Confirmed Eruption,2015-06-07,2020-04-17,1.0,14.382,-90.601
282050,Kuchinoerabujima,21073,Confirmed Eruption,2015-05-29,2015-06-19,3.0,30.443,130.217
353020,Wolf,21075,Confirmed Eruption,2015-05-25,2015-06-02,4.0,0.02,-91.35
266100,Lokon-Empung,21071,Confirmed Eruption,2015-05-20,2015-05-27,1.0,1.358,124.792
344040,Telica,21074,Confirmed Eruption,2015-05-07,2015-05-28,2.0,12.606,-86.84
273010,Bulusan,21072,Confirmed Eruption,2015-05-01,2015-07-17,2.0,12.769,124.056
331021,Axial Seamount,21092,Confirmed Eruption,2015-04-23,2015-05-24,0.0,45.95,-130.0
358020,Calbuco,21076,Confirmed Eruption,2015-04-22,2015-05-26,4.0,-41.33,-72.618
345070,Turrialba,20998,Confirmed Eruption,2015-03-08,2019-10-28,2.0,10.025,-83.767
344020,San Cristobal,22268,Confirmed Eruption,2015-03-05,2015-06-12,2.0,12.702,-87.004
290360,Chikurachki,20990,Confirmed Eruption,2015-02-16,2015-02-18,3.0,50.324,155.461
233020,"Fournaise, Piton de la",20982,Confirmed Eruption,2015-02-04,2015-10-31,0.0,-21.244,55.708
263340,Raung,21070,Confirmed Eruption,2015-02-01,2015-08-22,3.0,-8.119,114.056
343100,San Miguel,20994,Confirmed Eruption,2015-01-26,2015-04-11,1.0,13.434,-88.269
352090,Sangay,22236,Confirmed Eruption,2015-01-19,2015-04-07,2.0,-2.005,-78.341
266030,Soputan,20988,Confirmed Eruption,2015-01-06,2015-03-07,3.0,1.112,124.737
300260,Klyuchevskoy,20992,Confirmed Eruption,2015-01-01,2015-05-10,2.0,56.056,160.642
243040,Hunga Tonga-Hunga Ha'apai,20983,Confirmed Eruption,2014-12-19,2015-01-23,2.0,-20.536,-175.382
268060,Gamalama,20989,Confirmed Eruption,2014-12-18,2014-12-25,2.0,0.8,127.33
290290,Sinarka,20980,Uncertain Eruption,2014-12-03,2014-12-03,1.0,48.873,154.182
357120,Villarrica,20996,Confirmed Eruption,2014-12-02,2020-04-13,1.0,-39.42,-71.93
257050,Lopevi,20986,Uncertain Eruption,2014-12-01,2014-12-15,,-16.507,168.346
384010,Fogo,20977,Confirmed Eruption,2014-11-23,2015-02-08,3.0,14.95,-24.35
290260,Chirinkotan,22223,Confirmed Eruption,2014-11-21,2015-08-10,2.0,48.98,153.48
351020,"Ruiz, Nevado del",20995,Confirmed Eruption,2014-11-18,2017-05-29,2.0,4.892,-75.324
390090,Saunders,22271,Confirmed Eruption,2014-11-12,2020-01-28,1.0,-57.8,-26.483
312030,Pavlof,20975,Confirmed Eruption,2014-11-12,2014-11-15,1.0,55.417,-161.894
345070,Turrialba,20974,Confirmed Eruption,2014-10-29,2014-12-08,2.0,10.025,-83.767
264180,Lewotobi,20973,Uncertain Eruption,2014-10-06,2014-10-06,2.0,-8.542,122.775
283040,Ontakesan,20964,Confirmed Eruption,2014-09-27,2014-10-14,3.0,35.893,137.48
345020,Rincon de la Vieja,20961,Confirmed Eruption,2014-09-17,2014-10-24,1.0,10.83,-85.324
282110,Asosan,20960,Confirmed Eruption,2014-08-30,2016-05-01,2.0,32.884,131.104
373030,Bardarbunga,20955,Confirmed Eruption,2014-08-29,2015-02-27,0.0,64.633,-17.516
342110,Pacaya,22222,Confirmed Eruption,2014-08-25,2015-02-17,1.0,14.382,-90.601
273030,Mayon,20959,Confirmed Eruption,2014-08-12,2014-10-19,0.0,13.257,123.685
354006,Sabancaya,20953,Uncertain Eruption,2014-08-05,2014-12-27,1.0,-15.787,-71.857
282050,Kuchinoerabujima,20952,Confirmed Eruption,2014-08-03,2014-08-03,1.0,30.443,130.217
344020,San Cristobal,22267,Confirmed Eruption,2014-07-20,2014-10-01,2.0,12.702,-87.004
252140,Rabaul,20957,Confirmed Eruption,2014-07-07,2014-09-18,3.0,-4.271,152.203
357090,Copahue,20954,Confirmed Eruption,2014-07-04,2014-12-02,1.0,-37.856,-71.183
251020,Manam,20956,Confirmed Eruption,2014-06-29,2020-04-09,2.0,-4.08,145.037
233020,"Fournaise, Piton de la",20919,Confirmed Eruption,2014-06-21,2014-06-21,0.0,-21.244,55.708
267020,Karangetang,20914,Confirmed Eruption,2014-06-08,2016-03-15,2.0,2.781,125.407
300120,Zhupanovsky,20908,Confirmed Eruption,2014-06-06,2016-03-24,3.0,53.589,159.15
312030,Pavlof,20909,Confirmed Eruption,2014-05-31,2014-06-02,3.0,55.417,-161.894
264050,Sangeang Api,20911,Confirmed Eruption,2014-05-30,2015-11-05,3.0,-8.2,119.07
223020,Nyamuragira,20942,Confirmed Eruption,2014-05-30,2016-05-14,0.0,-1.408,29.2
284141,Ahyi,20936,Confirmed Eruption,2014-04-24,2014-05-17,0.0,20.42,145.03
263300,Semeru,22221,Confirmed Eruption,2014-04-01,2020-04-17,3.0,-8.108,112.922
262000,Krakatau,20932,Confirmed Eruption,2014-03-31,2014-03-31,1.0,-6.102,105.423
251030,Karkar,20910,Confirmed Eruption,2014-03-26,2014-03-27,1.0,-4.649,145.964
263250,Merapi,20892,Confirmed Eruption,2014-03-09,2014-04-20,3.0,-7.54,110.446
263180,Slamet,20933,Confirmed Eruption,2014-03-08,2014-09-17,2.0,-7.242,109.208
263280,Kelut,20934,Confirmed Eruption,2014-02-13,2014-02-15,4.0,-7.93,112.308
267020,Karangetang,20913,Confirmed Eruption,2014-02-09,2014-02-09,1.0,2.781,125.407
344020,San Cristobal,20941,Confirmed Eruption,2014-02-04,2014-04-11,1.0,12.702,-87.004
261140,Marapi,20931,Confirmed Eruption,2014-02-03,2014-02-26,1.0,-0.38,100.474
255060,Kavachi,20920,Confirmed Eruption,2014-01-29,2014-01-29,1.0,-8.991,157.979
311360,Shishaldin,20937,Confirmed Eruption,2014-01-28,2015-10-16,1.0,54.756,-163.97
282110,Asosan,20935,Confirmed Eruption,2014-01-13,2014-02-19,1.0,32.884,131.104
263340,Raung,21069,Uncertain Eruption,2014-01-04,2014-01-04,1.0,-8.119,114.056
343100,San Miguel,20906,Confirmed Eruption,2013-12-29,2014-07-28,2.0,13.434,-88.269
284096,Nishinoshima,20916,Confirmed Eruption,2013-11-20,2015-11-17,2.0,27.247,140.874
263250,Merapi,20842,Confirmed Eruption,2013-11-18,2013-11-18,2.0,-7.54,110.446
300120,Zhupanovsky,20907,Confirmed Eruption,2013-10-23,2013-10-26,3.0,53.589,159.15
260010,Barren Island,20918,Confirmed Eruption,2013-10-12,2016-05-17,2.0,12.278,93.858
263090,Tangkuban Parahu,20987,Confirmed Eruption,2013-10-05,2013-10-05,1.0,-6.77,107.6
221020,Zubair Group,21068,Confirmed Eruption,2013-09-28,2013-11-20,2.0,15.05,42.18
344040,Telica,22195,Confirmed Eruption,2013-09-25,2013-09-25,1.0,12.606,-86.84
261080,Sinabung,20818,Confirmed Eruption,2013-09-15,2018-08-30,4.0,3.17,98.392
211060,Etna,20841,Confirmed Eruption,2013-09-03,2020-04-17,2.0,37.748,14.999
354020,Ubinas,20832,Confirmed Eruption,2013-09-01,2016-02-27,2.0,-16.355,-70.903
264250,Iliwerung,20912,Confirmed Eruption,2013-08-20,2013-08-20,0.0,-8.53,123.57
300260,Klyuchevskoy,20786,Confirmed Eruption,2013-08-15,2013-12-20,1.0,56.056,160.642
290200,Ketoi,20780,Uncertain Eruption,2013-07-25,2013-08-12,,47.35,152.475
357120,Villarrica,20838,Confirmed Eruption,2013-07-25,2013-07-29,1.0,-39.42,-71.93
252120,Ulawun,20835,Confirmed Eruption,2013-07-08,2013-12-21,1.0,-5.05,151.33
284090,Izu-Torishima,20828,Uncertain Eruption,2013-07-06,2013-07-06,2.0,30.484,140.303
312070,Veniaminof,20836,Confirmed Eruption,2013-06-13,2013-10-12,3.0,56.17,-159.38
290260,Chirinkotan,20757,Confirmed Eruption,2013-06-11,2014-06-01,1.0,48.98,153.48
344020,San Cristobal,20817,Confirmed Eruption,2013-06-07,2013-06-07,1.0,12.702,-87.004
282060,Kikai,20781,Confirmed Eruption,2013-06-04,2013-06-04,1.0,30.793,130.305
